ano,departamento,poblacion_5_16,cobertura_neta,desercion,aprobacion,tamano_promedio_grupo
2013.0,choco,,79.59,4.59,88.85,17.38
2011,Chocó,,83.79,4.29,93.5,17.86
2014.0,Casanare,86899,103.24,,92.87,25.78
2024,CASANARE,,,,89.46,
2017.0,Chocó,145765,79.19,2.38,88.49,23395.0
2021.0,chocó,"143,120",87.17,4.02,86.05,
2016,Chocó,145596,79.85,3.58,87.44,22587.0
2022,Chocó,"147,806",84.5,3.67,87.88,
2020.0,  Casanare  ,"93,855",94.35,2.11,90.95,
2011.0, CASANARE ,85803,101.05,3.88,92.12,25.31
2022.0,Casanare,95609,93.37,3.98,88.53,
2014,Chocó,145299,81.14,3.53,90.58,18.8
2015,Casanare,87417,102.39,3.75,88.89,25.71
2015,Chocó,145625,80.48,4.78,88.35,18.79
2015,Chocó,145625,80.48,4.78,88.35,18.79
2023,casanare,96200,92.79,,89.04,
2019.0,Casanare,93431,93.43,3.01,90.13,
2019,Chocó,sin dato,82.64,2.8,88.46,
2017,Casanare,,97.72,2.68,92.41,26656.0
2023.0,Chocó,"147,698",84.91,2.32,89.24,
2021.0,casanare,93896,94.63,4.61,86.47,
2012.0,  Chocó  ,145607,80.95,2.09,91.88,14.92
2018,CHOCÓ,143975,80.95,3.16,87.71,
2018,Casanare,,93.05,2.69,90.77,
2024,Chocó,147229,85.74,2.4,89.84,
2016.0,Casanare,,100.18,4.21,90.23,24825.0
2013,Casanare,86460,103.69,3.67,90.86,31.93
2022,Casanare,95609,93.37,3.98,88.53,
2012,Casanare,85999,103.88,6.52,87.67,24.17
2020,Chocó,143711,83.97,2.04,91.72,
