year,dep_proc,ciu_proc,sexo,edad,estrato,tipo_col,mod_adm,pbm,sede_admision,facultad,programa,area_cine,puntaje_global,punt_comp_ciud,punt_comu_escr,punt_ingles,nivel_ingles,punt_lect_crit,punt_razo_cuant
2018,Sin datos,Sin datos,Hombres,23,ND/NE,Privado,Regular,72,Medellín,Minas,Ingeniería Geológica,"Ingeniería, industria y construcción",186,229,106,202,B2,182,211
2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Hombres,23,Estrato 4,Privado,Regular,45,Bogotá,Artes,Diseño Industrial,Artes y humanidades,158,175,126,189,B1,162,140
2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Hombres,32,Estrato 2,Oficial,Regular,8,Manizales,Ingeniería y arquitectura,Ingeniería Industrial,"Ingeniería, industria y construcción",162,143,146,148,A2,181,193
2018,RISARALDA,PEREIRA,Hombres,34,Estrato 3,Oficial,Regular,9,Manizales,Ingeniería y arquitectura,Ingeniería Eléctrica,"Ingeniería, industria y construcción",114,78,154,159,A2,70,108
2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Hombres,34,Estrato 2,Otros,Especial,8,Bogotá,Ciencias humanas,Historia,Artes y humanidades,142,131,139,131,A1,146,163
2018,ANTIOQUIA,MEDELLÍN,Hombres,33,Estrato 2,Oficial,Regular,17,Medellín,Ciencias,Matemáticas,"Ciencias naturales, matemáticas y estadística",170,124,179,110,-A1,216,221
2018,ANTIOQUIA,MEDELLÍN,Hombres,33,Estrato 3,Oficial,Regular,31,Medellín,Arquitectura,Artes Plásticas,Artes y humanidades,141,93,144,159,A2,167,142
2018,CHOCÓ,UNGUÍA,Hombres,35,Estrato 2,Privado,Especial,6,Bogotá,Medicina veterinaria y de zootecnia,Medicina Veterinaria,"Agricultura, silvicultura, pesca y veterinaria",161,107,175,192,B1,167,164
2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Hombres,38,Estrato 2,Oficial,Regular,9,Medellín,Ciencias,Estadística,"Ciencias naturales, matemáticas y estadística",165,173,157,167,A2,167,159
2018,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",Hombres,33,Estrato 2,Oficial,Regular,8,Bogotá,Ingeniería,Ingeniería Electrónica,"Ingeniería, industria y construcción",178,101,215,163,A2,189,223
2018,CUNDINAMARCA,SOACHA,Hombres,33,Estrato 1,Oficial,Especial,6,Bogotá,Ciencias humanas,Historia,Artes y humanidades,148,88,202,157,A2,139,153
2018,NARIÑO,PASTO,Hombres,36,Estrato 4,Oficial,Regular,19,Palmira,Ingeniería y administración,Ingeniería Ambiental,"Ingeniería, industria y construcción",165,189,118,160,A2,185,172
2018,Sin datos,Sin datos,Hombres,38,Estrato 3,Privado,Regular,48,Medellín,Arquitectura,Arquitectura,"Ingeniería, industria y construcción",151,167,99,166,A2,190,135
